;pt;standard_pt
4317;paresthesia lower limb;paraesthesia
4318;concentration loss;disturbance in attention
4319;bowel spasm;gastrointestinal pain
4320;hemicrania;headache
4321;muscle disorder nos;muscle disorder
4322;rectal cleansing;enema administration
4323;thrombophlebitis cerebral vein;cerebral venous thrombosis
4324;aml;acute myeloid leukaemia
4325;flu prevention;antiviral prophylaxis
4326;renal disease;nephropathy
4327;hepatic neoplasm nos;hepatic neoplasm
4328;heart valve replacement nos;heart valve replacement
4329;acute lymphatic leukemia;acute lymphocytic leukaemia
4330;acute erythroid leukemia;acute erythroid leukaemia
4331;mrsa colonization;bacterial disease carrier
4332;lyme's disease;lyme disease
4333;ldl raised;low density lipoprotein increased
4334;neurocardiogenic syncope;syncope
4335;unspecified inflammatory spondylopathy;spondyloarthropathy
4336;acute myeloid leukemia without mention of remission;acute myeloid leukaemia
4337;raised ldl;low density lipoprotein increased
4338;myocardial infarction acute;acute myocardial infarction
4339;concentration impaired;disturbance in attention
4340;acute diarrhea;diarrhoea
4341;rectal disorder;anorectal disorder
4342;acute allergic reaction;hypersensitivity
4343;commotio cerebri;concussion
4344;nail fungal infection nos;onychomycosis
4345;dysesthesia;dysaesthesia
4346;convulsions generalized;seizure
4347;breast adenocarcinoma stage iv;breast cancer stage iv
4348;ischemic heart disease prophylaxis;ischaemic heart disease prophylaxis
4349;artificial crown insertion;artificial crown procedure
4350;dental fillings;tooth repair
4351;esophagogastroduodenoscopy;oesophagogastroduodenoscopy
4352;behcet's disease;behcet's syndrome
4353;nomid;chronic infantile neurological cutaneous and articular syndrome
4354;chronic idiopathic urticaria;chronic spontaneous urticaria
4355;respiratory obstruction unspecified;obstructive airways disorder
4356;suicidal depression;depression suicidal
4357;intracranial pressure monitoring;csf pressure
4358;ankle injury;joint injury
4359;wrist injury;joint injury
4360;hodgkin's granuloma;hodgkin's disease
4361;mumps orchitis;orchitis mumps
4362;cough suppression;antitussive therapy
4363;nasopharyngeal lymphoepithelioma stage ii;undifferentiated nasopharyngeal carcinoma
4364;shoulder dislocation;joint dislocation
4365;flu-like symptoms;influenza like illness
4366;thyroid carcinoma;thyroid cancer
4367;middle cerebral artery infarct;cerebral infarction
4368;neisseria gonorrhoeae infection;gonococcal infection
4369;peripheral vascular disease;peripheral vascular disorder
4370;infection pseudomonas aeruginosa;pseudomonas infection
4371;afibrinogenemia;factor i deficiency
4372;syndrome guillain-barre;guillain-barre syndrome
4373;congenital hypogammaglobulinemia;congenital hypogammaglobulinaemia
4374;rhesus prophylaxis;prophylaxis against rh isoimmunisation
4375;red cell aplasia;aplasia pure red cell
4376;neurotic depression;persistent depressive disorder
4377;fluid replacement nos;fluid replacement
4378;bacterial infection nos;bacterial infection
4379;esophageal mucositis;oesophagitis
4380;inflammation localized;inflammation
4381;respiratory insufficiency;respiratory failure
4382;orofacial dyskinesia;dyskinesia
4383;tmj syndrome;temporomandibular joint syndrome
4384;cellulitis of toe;cellulitis
4385;staphylococcal endocarditis;endocarditis staphylococcal
4386;nephrotoxicity;nephropathy toxic
4387;staphylococcal cellulitis;cellulitis staphylococcal
4388;immunodeficiency secondary to neoplasm;secondary immunodeficiency
4389;hyperlipoproteinaemia;hyperlipidaemia
4390;pulmonary disorder;lung disorder
4391;impacted wisdom tooth;tooth impacted
4392;deep venous thrombosis arm;deep vein thrombosis
4393;multiple sclerosis flare;multiple sclerosis relapse
4394;parkinson's disease nos;parkinson's disease
4395;agammaglobulinaemia;hypogammaglobulinaemia
4396;arterial embolism nos;embolism arterial
4397;poor sleep;poor quality sleep
4398;coronary thrombosis;coronary artery thrombosis
4399;cellulitis of abdominal wall;cellulitis
4400;gram-positive rod infection;bacterial infection
4401;lung cancer non-small cell stage iii;non-small cell lung cancer stage iii
4402;arthritis septic;arthritis bacterial
4403;bladder inflammation;cystitis noninfective
4404;tyrosinaemia type i;tyrosinaemia
4405;leg fracture;lower limb fracture
4406;hepatic impairment;hepatic function abnormal
4407;acquired afibrinogenaemia;hypofibrinogenaemia
4408;nuclear magnetic resonance imaging liver abnormal;magnetic resonance imaging hepatobiliary abnormal
4409;lumbar syndrome;back pain
4410;immune-mediated adrenal insuficiency;immune-mediated adrenal insufficiency
4411;blood count abnormal;full blood count abnormal
4412;fluid overload;hypervolaemia
4413;thrombophlebitis superficial;superficial vein thrombosis
4414;heart injury;myocardial injury
4415;packed red blood cell transfusion;red blood cell transfusion
4416;pupils unequal;anisocoria
4417;colon adenoma;colorectal adenoma
4418;red man syndrome;vancomycin infusion reaction
4419;limb malformation;congenital musculoskeletal disorder of limbs
4420;skull malformation;congenital musculoskeletal disorder of skull
4421;pilonidal cyst;pilonidal disease
4422;extraocular muscle paresis;ophthalmoplegia
4423;congenital musculoskeletal anomaly;congenital musculoskeletal disorder
4424;apparent life threatening event;brief resolved unexplained event
4425;tooth repair;tooth restoration
4426;perivascular dermatitis;superficial inflammatory dermatosis
4427;spine malformation;congenital musculoskeletal disorder of spine
4428;nonalcoholic fatty liver disease;non-alcoholic fatty liver
4429;facial neuralgia;trigeminal neuralgia
4430;continuous positive airway pressure;positive airway pressure therapy
4431;chorioretinal atrophy;retinal degeneration
4432;bone decalcification;bone demineralisation
4433;pelvic prolapse;pelvic organ prolapse
4434;secondary hypothyroidism;central hypothyroidism
4435;myocardial strain;myocardial strain imaging
4436;intraocular melanoma;ocular melanoma
4437;multiple chemical sensitivity;idiopathic environmental intolerance
4438;bilevel positive airway pressure;positive airway pressure therapy
4439;perineurial cyst;spinal meningeal cyst
4440;fibromatosis;desmoid tumour
4441;warm type haemolytic anaemia;warm autoimmune haemolytic anaemia
4442;product sterility lacking;product sterility issue
4443;foetal placental thrombosis;foetal vascular malperfusion
4444;rectal adenoma;colorectal adenoma
4445;chondrodystrophy;osteochondrodysplasia
4446;blood heavy metal increased;heavy metal increased
4447;reversible splenial lesion syndrome;cytotoxic lesions of corpus callosum
4448;myositis ossificans;extraskeletal ossification
4449;carcinoid tumour of the appendix;carcinoid tumour in the large intestine
4450;pharyngeal fistula;oropharyngeal fistula
4451;pneumonia blastomyces;pulmonary blastomycosis
4452;mendelson's syndrome;pneumonitis aspiration
4453;paediatric autoimmune neuropsychiatric disorders associated with streptococcal infection;paediatric acute-onset neuropsychiatric syndrome
4454;postoperative heterotopic calcification;extraskeletal ossification
4455;choledochal cyst;biliary cyst
4456;acoustic neuritis;vestibular neuronitis
4457;blood count;full blood count
4458;uterine leiomyoma embolisation;uterine artery embolisation
4459;carcinoid tumour of the duodenum;carcinoid tumour of the small bowel
4460;acute macular outer retinopathy;acute macular neuroretinopathy
4461;carcinoid tumour of the caecum;carcinoid tumour in the large intestine
4462;hand-arm vibration syndrome;vibration syndrome
4463;ultrasound skull abnormal;ultrasound head abnormal
4464;cervical neuritis;cervical radiculopathy
4465;blood heavy metal abnormal;heavy metal abnormal
4466;endoscopy large bowel abnormal;colonoscopy abnormal
4467;endoscopy large bowel;colonoscopy
4468;factor v leiden carrier;factor v leiden mutation
4469;maternal death during childbirth;maternal death
4470;dysmorphophobia;body dysmorphic disorder
4471;aspiration breast;biopsy breast
4472;blood count normal;full blood count normal
4473;auricular chondritis;perichondritis
4474;radiation proctopathy;radiation proctitis
4475;acute zonal occult outer retinopathy;acute macular neuroretinopathy
4476;peri-spinal heterotopic ossification;extraskeletal ossification
4477;anterior chamber angle neovascularisation;anterior segment neovascularisation
4478;perianal cyst;anal cyst
4479;tertiary hypothyroidism;central hypothyroidism
4480;automatic positive airway pressure;positive airway pressure therapy
4481;cryophobia;frigophobia
4482;combined tibia-fibula fracture;lower limb fracture
4483;reactogenicity event;immunisation reaction
4484;immunisation anxiety related reaction;immunisation stress-related response
4485;malignant neoplasm removal;cancer surgery
4486;dupuytren’s contracture;dupuytren’s contracture
4487;acquired lipoatrophic diabetes;acquired generalised lipodystrophy
4488;airway patency oesophageal device;airway patency device insertion
4489;great saphenous vein closure;endovenous ablation
4490;immune-mediated adrenal insufficiency;immune-mediated adrenal insufficiency
4491;cow^s milk intolerance;dairy intolerance
4492;low  back pain;back pain
4493;haematological infection;sepsis
4494;fibroadenoma;fibroadenoma of breast
4495;lymphocytic dermatitis;superficial inflammatory dermatosis
4496;structural valve deterioration;prosthetic cardiac valve malfunction
4497;dyskinesia hyperpyrexia syndrome;parkinsonism hyperpyrexia syndrome
4498;retrosternal infection;mediastinitis
4499;trochanteric syndrome;greater trochanteric pain syndrome
4500;fungus cervical specimen identified;fungal test positive
4501;bile duct t-tube removal;biliary catheter removal
4502;retinopathy background;diabetic retinopathy
4503;weight above normal;weight increased
4504;virus body fluid identified;viral test positive
4505;urine cytomegalovirus;cytomegalovirus test
4506;uterine fibroid embolisation;uterine artery embolisation
4507;sweat chloride test abnormal;sweat test abnormal
4508;laparoscopic sterilisation;female sterilisation
4509;urine human chorionic gonadotropin;human chorionic gonadotropin
4510;anal sphincter repair;anoplasty
4511;steal phenomenon;steal syndrome
4512;anti-hbc antibody negative;hepatitis b core antibody negative
4513;districhiasis;distichiasis
4514;nymphomania;hypersexuality
4515;acute radiation syndrome;radiation sickness syndrome
4516;blood amino acid level abnormal;amino acid level abnormal
4517;sweat chloride test;sweat test
4518;recurarisation;recurrence of neuromuscular blockade
4519;severed digit reimplantation;limb reattachment surgery
4520;urine amylase abnormal;amylase abnormal
4521;omental implantation;omentoplasty
4522;radiotherapy to throat;radiotherapy to pharynx
4523;phleboplasty;venous repair
4524;pediatric autoimmune neuropsychiatric disorders associated with streptococcal infection;paediatric acute-onset neuropsychiatric syndrome
4525;anti-ss-a antibody negative;antinuclear antibody negative
4526;anti-ss-b antibody negative;antinuclear antibody negative
4527;congestive cardiomyopathy;dilated cardiomyopathy
4528;basedow's disease;graves' disease
4529;impaired self-care;loss of personal independence in daily activities
4530;bladder prolapse;cystocele
4531;chondrocalcinosis pyrophosphate;chondrocalcinosis
4532;diabetic ulcer;diabetic foot
4533;suppressed lactation;lactation insufficiency
4534;aspirin-exacerbated respiratory disease;nsaid exacerbated respiratory disease
4535;status asthmaticus;asthmatic crisis
4536;refractory cytopenia with unilineage dysplasia;myelodysplastic syndrome with single lineage dysplasia
4537;asymptomatic covid-19;covid-19
4538;bed rest;rest regimen
4539;refractory anaemia with an excess of blasts;myelodysplastic syndrome with excess blasts
4540;post laminectomy syndrome;failed back surgery syndrome
4541;post transplant distal limb syndrome;calcineurin inhibitor induced pain syndrome
4542;vertebral artery dissection;vertebrobasilar artery dissection
4543;intraductal papillary mucinous neoplasm;pancreatic cystadenoma
4544;cystic lymphangioma;lymphatic malformation
4545;rhinitis perennial;rhinitis allergic
4546;explorative laparotomy;laparotomy
4547;total bile acids increased;bile acids increased
4548;congenital cystic lung;congenital pulmonary airway malformation
4549;acquired claw toe;foot deformity
4550;diarrhoea neonatal;infantile diarrhoea
4551;propionibacterium infection;cutibacterium acnes infection
4552;refractory cytopenia with multilineage dysplasia;myelodysplastic syndrome with multilineage dysplasia
4553;mitral valve hypoplasia;mitral valve dysplasia
4554;computerised tomogram coronary artery abnormal;computerised tomogram heart abnormal
4555;spinal rod insertion;spinal implantation
4556;sensory integrative dysfunction;sensory processing disorder
4557;moebius ii syndrome;congenital facial diplegia
4558;refractory anaemia with ringed sideroblasts;myelodysplastic syndrome with ringed sideroblasts
4559;endometritis decidual;puerperal infection
4560;n-telopeptide urine increased;n-telopeptide increased
4561;penile rash;penile dermatitis
4562;methylmalonic aciduria;methylmalonic acidaemia
4563;peripheral artery haematoma;vascular access site haematoma
4564;premenstrual headache;menstrual headache
4565;choledocholithotomy;cholelithotomy
4566;glaucomatous optic disc atrophy;glaucomatous optic neuropathy
4567;ileal atresia;intestinal atresia
4568;late onset hypogonadism syndrome;testosterone deficiency syndrome
